course_title,rating,review_count,skills_list,platform,level,duration
Apache Kafka Series - Learn Apache Kafka for Beginners v3,4.7,41501,"['big data', 'network architecture', 'software architecture', 'computer architecture', 'data architecture', 'apache', 'distributed computing architecture', 'java programming']",udemy,0,8.5
Complete C# Unity Game Developer 3D,4.7,40669,"['c# programming', 'video', '3d']",udemy,0,30.5
Statistics for Data Science and Business Analysis,4.6,40689,"['regression', 'basic descriptive statistics', 'software testing']",udemy,0,5.0
Python for Beginners: Learn Python Programming (Python 3),4.5,40523,['python programming'],udemy,0,3.0
Java Programming for Complete Beginners,4.5,40311,"['cloud api', 'java programming']",udemy,1,41.0
React Native - The Practical Guide [2023],4.7,36182,"['react', 'ios development', 'android development']",udemy,0,28.5
HTML and CSS for Beginners - Build a Website & Launch ONLINE,4.4,35443,['html and css'],udemy,0,6.0
Go: The Complete Developer's Guide (Golang),4.6,35191,"['natural language processing', 'c programming language family', 'internet of things']",udemy,0,9.0
"C# Intermediate: Classes, Interfaces and OOP",4.5,35091,['c# programming'],udemy,2,6.0
"DevOps , CI/CD(Continuous Integration/Delivery for Beginners",4.4,34450,"['devops', 'cloud-based integration', 'continuous delivery', 'continuous integration', 'internet of things', 'devops tools']",udemy,1,1.0
Rest API Testing (Automation) from Scratch-Rest Assured Java,4.6,33851,"['cloud api', 'java programming']",udemy,0,28.0
Data Science A-Z™: Hands-On Exercises & ChatGPT Bonus [2023],4.6,33643,"['data science', 'theoretical computer science', 'data mining', 'tableau software', 'computer science']",udemy,0,21.5
Artificial Intelligence A-Z 2023: Build 5 AI (incl. ChatGPT),4.4,33602,"['machine learning', 'machine learning algorithms', 'applied machine learning', 'deep learning', 'machine learning software', 'data science', 'theoretical computer science', 'statistical machine learning', 'power bi', 'computer science', 'internet of things']",udemy,0,14.0
Learn JIRA with real-world examples (+Confluence bonus),4.6,33324,"['agile software development', 'jira']",udemy,0,11.5
C Programming For Beginners - Master the C Language,4.4,32662,"['other cloud platforms and tools', 'c programming language family', 'other programming languages', 'other web frameworks']",udemy,0,25.5
Modern JavaScript From The Beginning 2.0 - 2023 Revamp,4.7,32492,['javascript'],udemy,0,36.5
Python for Absolute Beginners,4.5,32515,['python programming'],udemy,1,4.5
JavaScript Basics for Beginners,4.6,32167,['javascript'],udemy,1,6.5
Certified Tester ISTQB® Foundation Level (CTFL) Updated 2022,4.4,31850,"['software testing', 'internet of things']",udemy,0,9.5
Relational Database Design,4.5,31842,"['database design', 'database application', 'database theory', 'database administration']",udemy,0,1.5
"Machine Learning, Data Science and Generative AI with Python",4.7,29871,"['machine learning', 'machine learning algorithms', 'applied machine learning', 'artificial neural networks', 'machine learning software', 'data science', 'theoretical computer science', 'statistical machine learning', 'tensorflow', 'computer science']",udemy,1,18.5
The Modern Python 3 Bootcamp,4.7,29017,"['python programming', 'user experience', 'user experience design', 'interactive design', 'interactive data visualization']",udemy,1,30.0
Learn and Understand NodeJS,4.5,29003,"['deep learning', 'javascript', 'internet of things']",udemy,0,13.0
Alteryx Bootcamp,4.6,28833,['internet of things'],udemy,1,6.5
The Complete Android N Developer Course,4.1,28578,"['google app engine', 'android development']",udemy,0,32.5
JavaScript - The Complete Guide 2023 (Beginner + Advanced),4.7,28160,['javascript'],udemy,0,52.5
Kubernetes Certified Application Developer (CKAD) with Tests,4.7,27998,"['devops', 'kubernetes', 'devops tools']",udemy,0,15.5
Complete C# Masterclass,4.6,27895,"['databases', 'software testing', 'game theory', 'c# programming']",udemy,0,45.5
"Complete React Developer in 2023 (w/ Redux, Hooks, GraphQL)",4.6,27654,"['google app engine', 'react']",udemy,0,42.5
Python A-Z™: Python For Data Science With Real Exercises!,4.6,27243,"['python programming', 'data science', 'data mining']",udemy,0,11.0
The Complete Angular Course: Beginner to Advanced,4.4,27103,"['google app engine', 'angular']",udemy,0,29.5
Ethereum and Solidity: The Complete Developer's Guide,4.5,26281,"['blockchain', 'media production']",udemy,0,24.0
Modern HTML & CSS From The Beginning (Including Sass),4.7,26061,['html and css'],udemy,0,21.0
The Complete Java Certification Course,4.5,26009,['java programming'],udemy,0,17.5
Microsoft SQL for Beginners,4.5,25855,"['sql', 'microsoft excel', 'microsoft azure']",udemy,1,4.0
JavaScript Algorithms and Data Structures Masterclass,4.7,25550,"['data science', 'theoretical computer science', 'computer science']",udemy,0,22.0
The Complete 2023 Software Testing Bootcamp,4.6,25519,['software testing'],udemy,1,29.5
Responsive Web Design: HTML5 + CSS3 for Entrepreneurs 2018,4.5,25344,"['internet of things', 'website']",udemy,1,5.5
PHP for Beginners - Become a PHP Master - CMS Project,4.3,24274,['php programming'],udemy,0,37.0
Angular & NodeJS - The MEAN Stack Guide [2023 Edition],4.6,24114,"['application development', 'database application', 'angular']",udemy,0,12.5
Python for beginners,4.5,24013,"['python programming', 'internet of things']",udemy,0,15.0
Learn C++ Programming -Beginner to Advance- Deep Dive in C++,4.6,23982,"['c++ programming', 'internet of things', 'material handling']",udemy,0,30.5
The Complete Python Programming Course: Beginner to Advanced,3.9,23641,"['python programming', 'game theory', 'django']",udemy,0,18.0
MongoDB - The Complete Developer's Guide 2023,4.6,23140,"['mobile security', 'mobile development', 'mobile development tools']",udemy,0,17.5
The Complete React Developer Course (w/ Hooks and Redux),4.6,23052,['react'],udemy,1,39.0
Spark and Python for Big Data with PySpark,4.5,22998,"['python programming', 'machine learning', 'machine learning algorithms', 'applied machine learning', 'machine learning software', 'statistical machine learning']",udemy,2,10.5
Become a WordPress Developer: Unlocking Power With Code,4.7,22949,"['interactive design', 'interactive data visualization', 'javascript', 'cloud api', 'wordpress', 'php programming']",udemy,0,42.0
Docker & Kubernetes: The Practical Guide [2023 Edition],4.7,22930,"['kubernetes', 'docker']",udemy,0,23.5
Java In-Depth: Become a Complete Java Engineer!,4.5,22348,['java programming'],udemy,0,71.0
Build an app with ASPNET Core and Angular from scratch,4.6,21963,"['application development', 'database application', 'cloud api', 'internet of things', 'angular']",udemy,1,35.5
C# Advanced Topics: Prepare for Technical Interviews,4.5,21763,['c# programming'],udemy,2,3.0
Learn and Understand AngularJS,4.6,21725,['javascript'],udemy,0,7.0
REST APIs with Flask and Python in 2023,4.6,21500,"['python programming', 'docker']",udemy,2,12.0
The Agile Samurai Bootcamp,4.3,21331,['agile software development'],udemy,0,3.0
"Node.js, Express, MongoDB & More: The Complete Bootcamp 2024",4.7,21089,"['google app engine', 'payments', 'cloud api']",udemy,0,42.0
Git Going Fast: One Hour Git Crash Course,4.4,20992,['basic descriptive statistics'],udemy,1,1.5
Data Analysis with Pandas and Python,4.6,20879,['python programming'],udemy,0,41.0
The Complete Python Course | Learn Python by Doing in 2023,4.6,20712,"['python programming', 'investment management']",udemy,0,35.5
"Understanding Jira for users, managers and admins",4.5,20291,['agile software development'],udemy,0,7.0
HTML5 and CSS3 Fundamentals,4.4,19516,['website'],udemy,1,5.0
Learning Python for Data Analysis and Visualization Ver 1,4.2,19381,"['python programming', 'internet of things', 'video']",udemy,0,21.0
Complete Machine Learning & Data Science Bootcamp 2023,4.6,19183,"['python programming', 'machine learning', 'machine learning algorithms', 'applied machine learning', 'artificial neural networks', 'machine learning software', 'data science', 'theoretical computer science', 'statistical machine learning', 'business intelligence', 'tensorflow', 'emotional intelligence', 'computer science']",udemy,0,44.0
The Ultimate Guide to Game Development with Unity (Official),4.5,19076,"['c# programming', '3d']",udemy,1,36.5
MasterClass Software Testing with Jira & Agile -Be a QA Lead,4.5,18860,"['software testing', 'customer support']",udemy,0,10.5
The Complete Oracle SQL Bootcamp (2023),4.6,18666,['sql'],udemy,0,38.5
Appium -Mobile Testing (Android/IOS) from Scratch+Frameworks,4.6,18392,"['software testing', 'mobile security', 'mobile development', 'mobile development tools']",udemy,0,25.5
Angular Crash Course for Busy Developers,4.6,18273,['angular'],udemy,0,10.5
The Complete Android Oreo Developer Course - Build 23 Apps!,4.2,17578,"['google app engine', 'java programming', 'android development']",udemy,0,37.5
Apache Spark with Scala - Hands On with Big Data!,4.6,17302,"['apache', 'internet of things', 'scala programming']",udemy,0,9.0
Python for Financial Analysis and Algorithmic Trading,4.6,17290,"['python programming', 'finance', 'securities trading', 'entrepreneurial finance']",udemy,0,16.5
Selenium 4 WebDriver with Java(Basics + Advance + Architect),4.5,17172,['other web frameworks'],udemy,0,143.5
Learn JMETER from Scratch on Live Apps -Performance Testing,4.5,17007,"['load', 'software testing', 'customer support', 'material handling', 'cloud load balancing']",udemy,0,8.5
Javascript for Beginners Learn by Doing Practical Exercises,4.5,16934,['javascript'],udemy,0,4.0
Complete Guide to TensorFlow for Deep Learning with Python,4.6,16785,"['python programming', 'deep learning', 'google cloud platform', 'tensorflow', 'google app engine']",udemy,2,14.0
The Ultimate Excel Programmer Course,4.6,16714,['microsoft excel'],udemy,0,30.5
Bash Scripting and Shell Programming (Linux Command Line),4.5,16711,['linux'],udemy,0,2.5
Microservices with Node JS and React,4.7,16636,"['kubernetes', 'google app engine', 'react', 'docker']",udemy,0,54.5
WebServices/Rest API Testing with SoapUI +Real time Projects,4.6,16495,['collaboration'],udemy,0,12.5
Data Science and Machine Learning Bootcamp with R,4.7,16468,"['machine learning', 'machine learning algorithms', 'applied machine learning', 'machine learning software', 'data science', 'theoretical computer science', 'statistical machine learning', 'r programming', 'natural language processing', 'computer science', 'c programming language family']",udemy,0,18.0
"Ionic - Build iOS, Android & Web Apps with Ionic & Angular",4.7,16363,"['ios development', 'android development', 'angular']",udemy,0,20.5
Selenium Webdriver with PYTHON from Scratch + Frameworks,4.5,16235,['python programming'],udemy,0,17.0
"Jenkins, From Zero To Hero: Become a DevOps Jenkins Master",4.4,16071,"['devops', 'docker', 'devops tools', 'aws']",udemy,0,10.5
Postman: The Complete Guide - REST API Testing,4.7,16069,"['other cloud platforms and tools', 'software testing', 'cloud api', 'other programming languages', 'other web frameworks']",udemy,0,21.5
Learn JAVA Programming - Beginner to Master,4.6,16017,"['deep learning', 'java programming']",udemy,0,61.5
Java Programming: Complete Beginner to Advanced,4.2,15938,['java programming'],udemy,0,9.0
Learn DevOps: CI/CD with Jenkins using Pipelines and Docker,4.4,15840,"['devops', 'docker', 'devops tools']",udemy,0,4.5
"GitLab CI: Pipelines, CI/CD and DevOps for Beginners",4.6,15813,"['devops', 'devops tools', 'aws']",udemy,2,5.5
SOLID Principles: Introducing Software Architecture & Design,4.5,15769,"['java programming', 'other programming languages']",udemy,1,2.0
The Complete Ruby on Rails Developer Course,4.5,15619,['creativity'],udemy,0,48.0
"MERN Stack Front To Back: Full Stack React, Redux & Node.js",4.7,15348,"['network security', 'network architecture', 'social media', 'network model', 'react', 'network analysis', 'bayesian network']",udemy,2,12.0
Taming Big Data with Apache Spark and Python - Hands On!,4.6,15342,"['python programming', 'internet of things']",udemy,0,7.0
NLP - Natural Language Processing with Python,4.6,15262,"['machine learning', 'machine learning algorithms', 'applied machine learning', 'deep learning', 'machine learning software', 'statistical machine learning', 'natural language processing', 'c programming language family']",udemy,2,11.5
Docker Crash Course for busy DevOps and Developers,4.6,14921,"['devops', 'docker', 'devops tools']",udemy,0,3.0
Data Structures and Algorithms:  Deep Dive Using Java,4.5,14884,"['algorithms', 'machine learning algorithms', 'search engine optimization']",udemy,2,16.0
The Complete WordPress Website Business Course,4.3,14697,['wordpress'],udemy,0,22.0
Core Java Made Easy (Covers the latest Java 17),4.5,14663,['java programming'],udemy,0,28.0
Node with React: Fullstack Web Development,4.4,14625,['react'],udemy,0,26.0
Learn Spring Boot 3 in 100 Steps - No 1 Java Framework,4.5,14589,"['application development', 'database application', 'cloud api', 'java programming']",udemy,0,16.5
The Coding Interview Bootcamp: Algorithms + Data Structures,4.8,14481,"['algorithms', 'data structures', 'javascript']",udemy,0,13.0
Learn DevOps: Infrastructure Automation With Terraform,4.4,14419,"['cloud infrastructure', 'docker', 'aws']",udemy,1,11.5
Master Java Web Services and REST API with Spring Boot,4.6,14249,"['cloud api', 'java programming', 'amazon web services']",udemy,0,13.5
"The Complete PL/SQL Bootcamp : ""Beginner to Advanced PL/SQL""",4.5,14192,['sql'],udemy,0,26.5
Next.js & React - The Complete Guide (incl. Two Paths!),4.7,14140,['media production'],udemy,0,25.0
Build Websites from Scratch with HTML & CSS,4.6,14031,['html and css'],udemy,1,8.5
The Complete Front-End Web Development Course,4.3,13901,"['javascript', 'html and css']",udemy,0,17.0
Introduction to Machine Learning for Data Science,4.5,13838,"['machine learning', 'machine learning algorithms', 'applied machine learning', 'machine learning software', 'people analysis', 'people management', 'data science', 'statistical machine learning', 'people development']",udemy,1,5.5
ES6 Javascript: The Complete Developer's Guide,4.5,13800,['javascript'],udemy,1,6.5
Quick Introduction to Postman and API Testing for Beginners,4.6,13743,"['software testing', 'cloud api', 'internet of things']",udemy,0,3.0
iOS 10 & Swift 3: From Beginner to Paid Professional™,4.1,13681,"['google app engine', 'internet of things', 'ios development']",udemy,0,71.0
Python for Machine Learning & Data Science Masterclass,4.7,13672,"['python programming', 'machine learning', 'machine learning algorithms', 'applied machine learning', 'machine learning software', 'data science', 'theoretical computer science', 'statistical machine learning', 'computer science']",udemy,0,44.0
Scala & Functional Programming Essentials | Rock the JVM,4.7,13663,['scala programming'],udemy,2,11.5
Selenium WebDriver with Java for beginners,4.6,13506,"['software testing', 'java programming']",udemy,1,6.5
JavaScript: The Advanced Concepts (2023 Update),4.7,13445,"['javascript', 'internet of things']",udemy,0,26.0
Cypress -Modern Automation Testing from Scratch + Frameworks,4.6,13406,"['writing', 'statistical tests', 'cloud-based integration', 'continuous integration', 'other web frameworks']",udemy,0,17.0
AWS Serverless APIs & Apps - A Complete Introduction,4.5,13332,"['cloud computing', 'other cloud platforms and tools', 'cloud api', 'distributed computing architecture', 'amazon web services', 'other programming languages', 'other web frameworks', 'aws']",udemy,0,8.0
Entity Framework in Depth: The Complete Guide,4.4,13249,"['sql', 'database design', 'database application', 'database theory', 'database administration']",udemy,2,6.5
"DevOps: CI/CD with Jenkins pipelines, Maven, Gradle",4.5,13225,"['devops', 'cloud-based integration', 'continuous delivery', 'continuous integration', 'java programming', 'devops tools']",udemy,0,3.5
.NET Core MVC - The Complete Guide 2023 [E-commerce] [.NET8],4.5,13175,"['application development', 'database application']",udemy,2,17.0
The Modern JavaScript Bootcamp,4.8,12942,['javascript'],udemy,0,29.5
PHP with Laravel for beginners - Become a Master in Laravel,4.5,12613,['google app engine'],udemy,0,43.0
Learn to Code in Python 3: Programming beginner to advanced,4.5,12408,['internet of things'],udemy,1,5.5
AWS CloudFormation Master Class v2 [2023],4.6,12361,['aws'],udemy,0,7.0
Accelerated ES6 JavaScript Training,4.6,5680,"['javascript', 'internet of things']",udemy,2,6.0
Typescript: The Complete Developer's Guide,4.6,12312,['react'],udemy,0,27.5
The Complete Android 14 & Kotlin Development Masterclass,4.4,12315,"['google app engine', 'android development']",udemy,0,66.0
"Beginner Full Stack Web Development: HTML, CSS, React & Node",4.4,12266,"['html and css', 'react']",udemy,1,31.5
Data Science: Natural Language Processing (NLP) in Python,4.6,12056,['semantic web'],udemy,0,12.0
The Modern Javascript Bootcamp Course (2022),4.7,12030,"['javascript', 'internet of things']",udemy,0,52.0
Node.js: The Complete Guide to Build RESTful APIs (2018),4.7,11877,"['amazon web services', 'media production']",udemy,2,15.0
Programming with Python : HandsOn Introduction for Beginners,4.7,11737,"['python programming', 'writing']",udemy,1,3.5
Pre-Programming: Everything you need to know before you code,4.7,11549,"['other cloud platforms and tools', 'customer success', 'internet of things', 'other programming languages', 'other web frameworks']",udemy,1,6.5
SQL Programming Basics,4.6,11568,"['sql', 'internet of things']",udemy,1,1.5
Design Patterns in C# and .NET,4.4,11419,"['internet of things', 'c# programming']",udemy,2,20.5
Statistics for Business Analytics and Data Science A-Z™,4.5,11306,"['data science', 'theoretical computer science', 'computer science']",udemy,0,6.0
Advanced React and Redux,4.5,11143,"['software testing', 'react']",udemy,2,21.0
RPG Core Combat Creator: Learn Intermediate Unity C# Coding,4.7,10881,"['network architecture', 'software architecture', 'computer architecture', 'data architecture', 'distributed computing architecture', 'game theory', 'video']",udemy,2,27.5
The Complete iOS 10 & Swift 3 Developer Course,4.5,10829,"['google app engine', 'ios development', 'swift programming']",udemy,0,30.0
Progressive Web Apps (PWA) - The Complete Guide,4.6,10811,"['google app engine', 'ios development', 'android development']",udemy,0,16.0
Robot Framework Test Automation - Level 1 ( Selenium ),4.5,10815,"['database design', 'database application', 'database theory', 'database administration', 'cloud api']",udemy,1,8.5
"React, NodeJS, Express & MongoDB - The MERN Fullstack Guide",4.5,10722,['react'],udemy,0,19.0
Master Hibernate and JPA with Spring Boot in 100 Steps,4.6,10712,"['cloud api', 'java programming']",udemy,0,14.0
Practice Java by Building Projects,4.4,10623,['java programming'],udemy,0,3.5
Learn Cucumber BDD with Java -MasterClass Selenium Framework,4.6,10582,['java programming'],udemy,0,12.0
Flutter - Beginners Course,4.4,3349,"['mobile security', 'mobile development', 'mobile development tools']",udemy,1,2.5
"Modern JavaScript (Complete guide, from Novice to Ninja)",4.7,10564,['javascript'],udemy,0,20.5
Ethereum Blockchain Developer Bootcamp With Solidity (2023),4.6,10561,['blockchain'],udemy,0,24.0
C++: From Beginner to Expert,4.6,10558,"['people analysis', 'people management', 'people development', 'c++ programming']",udemy,0,17.5
Unit Testing for C# Developers,4.6,10505,"['software testing', 'c# programming']",udemy,0,6.0
Android Java Masterclass - Become an App Developer,4.4,10491,"['google app engine', 'android development']",udemy,0,60.5
Tensorflow 2.0: Deep Learning and Artificial Intelligence,4.6,10475,"['machine learning', 'machine learning algorithms', 'applied machine learning', 'artificial neural networks', 'machine learning software', 'statistical machine learning', 'computer vision', 'reinforcement learning']",udemy,0,23.5
Unreal Engine 5: The Complete Beginner's Course,4.6,10352,"['game theory', 'video']",udemy,1,10.0
GraphQL with React: The Complete Developers Guide,4.5,10157,['react'],udemy,2,13.5
Python for Computer Vision with OpenCV and Deep Learning,4.5,10132,"['python programming', 'deep learning', 'computer vision']",udemy,2,14.0
Learn Git by Doing: A step-by-step guide to version control,4.5,10073,['internet of things'],udemy,1,1.5
Modern Java - Learn Java 8 Functional Features By coding it,4.5,10013,['java programming'],udemy,0,11.0
"Java Multithreading, Concurrency & Performance Optimization",4.8,10005,"['performance management', 'java programming']",udemy,0,5.5
Xamarin Forms: Build Native Cross-platform Apps with C#,4.4,9899,"['mobile security', 'mobile development', 'mobile development tools', 'ios development', 'android development', 'c# programming']",udemy,0,7.5
Software Engineering 101: Plan and Execute Better Software.,4.6,9887,['scrum'],udemy,0,8.5
DP-900 Azure Data Fundamentals Exam Prep In One Day,4.5,9868,"['database design', 'database application', 'database theory', 'database administration', 'amazon web services', 'microsoft azure', 'internet of things']",udemy,1,4.5
Artificial Intelligence: Reinforcement Learning in Python,4.8,9831,"['advertising', 'reinforcement learning', 'securities trading', 'advertising sales']",udemy,2,14.5
Microservices Software Architecture: Patterns and Techniques,4.1,9736,"['network architecture', 'software architecture', 'computer architecture', 'data architecture', 'distributed computing architecture']",udemy,0,1.0
Python for Beginners with Examples,4.4,9630,['python programming'],udemy,1,4.5
Data Structures A-Z : Data Structures + Algorithms Bootcamp,4.9,9622,"['algorithms', 'machine learning algorithms', 'data structures']",udemy,0,7.5
Teach Your Kids to Code: Learn to Program Python at Any Age!,4.5,9595,['linux'],udemy,0,8.0
Web Development Masterclass - Online Certification Course,4.6,9498,"['cloud computing', 'linux', 'javascript', 'html and css', 'distributed computing architecture', 'php programming']",udemy,0,26.0
Data Science: Deep Learning and Neural Networks in Python,4.7,9445,"['python programming', 'machine learning', 'machine learning algorithms', 'applied machine learning', 'artificial neural networks', 'network security', 'machine learning software', 'statistical machine learning', 'network architecture', 'tensorflow', 'network model', 'network analysis', 'bayesian network']",udemy,2,12.0
Go Java Full Stack with Spring Boot and Angular,4.4,9422,"['application development', 'database application', 'java programming', 'angular']",udemy,0,14.0
Complete Java SE 8 Developer Bootcamp - OCA Prep Included,4.7,9286,"['java programming', 'internet of things']",udemy,0,12.0
The Advanced Web Developer Bootcamp,4.3,9265,"['software testing', 'html and css', 'react']",udemy,2,34.0
The Complete Hands-On Introduction to Apache Airflow,4.5,9225,['apache'],udemy,0,3.5
Full Stack: Angular and Java Spring Boot E-Commerce Website,4.6,9177,"['payments', 'java programming', 'angular', 'website']",udemy,2,26.0
Software Testing Masterclass (2023) - From Novice to Expert,4.5,9158,"['agile software development', 'software testing', 'mobile security', 'mobile development', 'mobile development tools', 'jira']",udemy,0,8.5
Python for beginners - Learn all the basics of python,4.4,9152,"['python programming', 'basic descriptive statistics', 'other cloud platforms and tools', 'other programming languages', 'other web frameworks']",udemy,1,5.0
Python OOP : Four Pillars of OOP in Python 3 for Beginners,4.4,9107,['python programming'],udemy,1,2.5
Advanced Javascript,4.5,9094,"['transform', 'javascript']",udemy,2,6.5
TensorFlow Developer Certificate in 2023: Zero to Mastery,4.7,9029,"['machine learning', 'machine learning algorithms', 'applied machine learning', 'deep learning', 'machine learning software', 'statistical machine learning', 'tensorflow']",udemy,0,63.5
React Front To Back,4.6,9019,"['cloud api', 'react']",udemy,0,14.0
Coding for Beginners 1: You Can Learn to Code!,4.6,8977,"['user experience', 'user experience design', 'google app engine']",udemy,1,11.5
Python and Django for Beginners,4.5,8935,"['natural language processing', 'c programming language family']",udemy,1,14.0
Full Stack Java developer - Java + JSP + Spring Restful + JS,4.4,8818,"['javascript', 'cloud api', 'java programming']",udemy,0,70.5
R Programming: Advanced Analytics In R For Data Science,4.6,8660,"['data science', 'theoretical computer science', 'r programming', 'computer science']",udemy,2,6.0
"HTML, CSS, & JavaScript - Certification Course for Beginners",4.3,8656,"['interactive design', 'interactive data visualization', 'javascript', 'html and css']",udemy,1,5.5
The Complete Salesforce Development Course,4.6,8616,['salesforce'],udemy,0,31.5
Shell Scripting: Discover How to Automate Command Line Tasks,4.4,8577,['linux'],udemy,0,6.0
Interactive Python Dashboards with Plotly and Dash,4.5,8555,"['python programming', 'interactive design', 'interactive data visualization']",udemy,2,9.5
Python and Flask Bootcamp: Create Websites using Flask!,4.7,8497,['python programming'],udemy,0,20.0
SQL for Data Analysis: Beginner MySQL Business Intelligence,4.7,8469,"['sql', 'database design', 'database application', 'database theory', 'database administration']",udemy,0,4.5
Complete Python Programming Masterclass Beginner to Advanced,4.7,8463,['python programming'],udemy,0,7.0
