course_title,skills,rating,review_count,level,duration,skills_list,filtered_skills,Algorithms,Business Analysis,Cloud Computing,Communication,Computer Programming,Critical Thinking,Data Analysis,Data Management,Data Visualization,Databases,Decision Making,Entrepreneurship,Finance,General Statistics,Human Learning,Leadership and Management,Machine Learning,Machine Learning Algorithms,Marketing,Planning,Probability & Statistics,Problem Solving,Python Programming,Strategy,Strategy and Operations
Generative AI for Everyone,"{"" Strategy"","" Writing""}",4.9,188.0,Beginner , 1 - 4 Weeks,"['Strategy', 'Writing']",['Strategy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IBM DevOps and Software Engineering,"{"" DevOps"","" Software Engineering"","" Cloud Computing"","" Computer Programming"","" Application Development"","" Python Programming"","" Software Architecture"","" Cloud Applications"","" Continuous Delivery"","" Continuous Integration"","" Software Engineering Tools"","" Agile Software Development"","" Programming Principles"","" Security Engineering"","" Software Testing"","" Cloud Infrastructure"","" Kubernetes"","" Cloud-Based Integration"","" Microarchitecture"","" Cloud Platforms"","" Communication"","" IBM Cloud"","" Scrum (Software Development)"","" Software Security"","" Cloud Storage"","" Docker (Software)"","" Linux"","" Product Management"","" Software-Defined Networking"","" Collaboration"","" Leadership and Management"","" Data Analysis"","" Mergers & Acquisitions""}",4.6,43200.0,Beginner , 3 - 6 Months,"['DevOps', 'Software Engineering', 'Cloud Computing', 'Computer Programming', 'Application Development', 'Python Programming', 'Software Architecture', 'Cloud Applications', 'Continuous Delivery', 'Continuous Integration', 'Software Engineering Tools', 'Agile Software Development', 'Programming Principles', 'Security Engineering', 'Software Testing', 'Cloud Infrastructure', 'Kubernetes', 'Cloud-Based Integration', 'Microarchitecture', 'Cloud Platforms', 'Communication', 'IBM Cloud', 'Scrum (Software Development)', 'Software Security', 'Cloud Storage', 'Docker (Software)', 'Linux', 'Product Management', 'Software-Defined Networking', 'Collaboration', 'Leadership and Management', 'Data Analysis', 'Mergers & Acquisitions']","['Cloud Computing', 'Computer Programming', 'Python Programming', 'Communication', 'Leadership and Management', 'Data Analysis']",0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
IBM Full Stack Software Developer,"{"" Cloud Computing"","" Python Programming"","" Cloud Applications"","" Computer Programming"","" IBM Cloud"","" Application Development"","" Cloud Infrastructure"","" DevOps"","" Web Development"","" Cloud Management"","" Cloud Platforms"","" Javascript"","" Software Architecture"","" Cloud API"","" Cloud Storage"","" Cloud-Based Integration"","" Full-Stack Web Development"","" Software Engineering"","" Continuous Delivery"","" Continuous Integration"","" Docker (Software)"","" Software As A Service"","" Web Development Tools"","" Microarchitecture"","" Django (Web Framework)"","" Database Application"","" Databases"","" Kubernetes"","" SQL"","" Software Engineering Tools"","" Data Management"","" NoSQL"","" Collaboration"","" Computer Science"","" Data Analysis"","" Leadership and Management"","" Mergers & Acquisitions"","" React (web framework)""}",4.6,41200.0,Beginner , 3 - 6 Months,"['Cloud Computing', 'Python Programming', 'Cloud Applications', 'Computer Programming', 'IBM Cloud', 'Application Development', 'Cloud Infrastructure', 'DevOps', 'Web Development', 'Cloud Management', 'Cloud Platforms', 'Javascript', 'Software Architecture', 'Cloud API', 'Cloud Storage', 'Cloud-Based Integration', 'Full-Stack Web Development', 'Software Engineering', 'Continuous Delivery', 'Continuous Integration', 'Docker (Software)', 'Software As A Service', 'Web Development Tools', 'Microarchitecture', 'Django (Web Framework)', 'Database Application', 'Databases', 'Kubernetes', 'SQL', 'Software Engineering Tools', 'Data Management', 'NoSQL', 'Collaboration', 'Computer Science', 'Data Analysis', 'Leadership and Management', 'Mergers & Acquisitions', 'React (web framework)']","['Cloud Computing', 'Python Programming', 'Computer Programming', 'Databases', 'Data Management', 'Data Analysis', 'Leadership and Management']",0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Key Technologies for Business,"{"" Algorithms"","" Applied Machine Learning"","" Artificial Neural Networks"","" Computer Vision"","" Deep Learning"","" Human Learning"","" Machine Learning"","" Machine Learning Algorithms"","" Machine Learning Software"","" Cloud Computing"","" Data Science"","" Data Analysis"","" Big Data"","" Data Mining"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Storage"","" DevOps"","" IBM Cloud"","" Regression"","" Writing""}",4.7,81500.0,Beginner , 1 - 3 Months,"['Algorithms', 'Applied Machine Learning', 'Artificial Neural Networks', 'Computer Vision', 'Deep Learning', 'Human Learning', 'Machine Learning', 'Machine Learning Algorithms', 'Machine Learning Software', 'Cloud Computing', 'Data Science', 'Data Analysis', 'Big Data', 'Data Mining', 'Cloud Applications', 'Cloud Infrastructure', 'Cloud Platforms', 'Cloud Storage', 'DevOps', 'IBM Cloud', 'Regression', 'Writing']","['Algorithms', 'Human Learning', 'Machine Learning', 'Machine Learning Algorithms', 'Cloud Computing', 'Data Analysis']",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Data Science Fundamentals with Python and SQL,"{"" Python Programming"","" Data Analysis"","" General Statistics"","" Probability & Statistics"","" Basic Descriptive Statistics"","" Statistical Analysis"","" Statistical Tests"","" Mathematical Theory & Analysis"","" Statistical Programming"","" Computer Programming"","" Data Science"","" Plot (Graphics)"","" R Programming"","" Computational Thinking"","" Data Management"","" Database Application"","" Database Design"","" Database Theory"","" Databases"","" SQL"","" Cloud Computing"","" IBM Cloud""}",4.6,59200.0,Beginner , 3 - 6 Months,"['Python Programming', 'Data Analysis', 'General Statistics', 'Probability & Statistics', 'Basic Descriptive Statistics', 'Statistical Analysis', 'Statistical Tests', 'Mathematical Theory & Analysis', 'Statistical Programming', 'Computer Programming', 'Data Science', 'Plot (Graphics)', 'R Programming', 'Computational Thinking', 'Data Management', 'Database Application', 'Database Design', 'Database Theory', 'Databases', 'SQL', 'Cloud Computing', 'IBM Cloud']","['Python Programming', 'Data Analysis', 'General Statistics', 'Probability & Statistics', 'Computer Programming', 'Data Management', 'Databases', 'Cloud Computing']",0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
IBM & Darden Digital Strategy,"{"" Business Analysis"","" Business Transformation"","" Strategy"","" Cloud Computing"","" Data Analysis"","" Strategy and Operations"","" Applied Machine Learning"","" Entrepreneurship"","" Leadership and Management"","" Algorithms"","" Artificial Neural Networks"","" Computer Vision"","" Deep Learning"","" Human Learning"","" Innovation"","" Machine Learning"","" Machine Learning Algorithms"","" Machine Learning Software"","" Marketing"","" Sales"","" Data Visualization"","" Research and Design"","" Business Design"","" Business Development"","" Customer Analysis"","" Product Strategy"","" Market Analysis"","" Data Management"","" Data Mining"","" Databases"","" Python Programming"","" SQL"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Storage"","" Data Science"","" DevOps"","" IBM Cloud"","" NoSQL"","" R Programming"","" Microsoft Excel""}",4.7,29700.0,Beginner , 3 - 6 Months,"['Business Analysis', 'Business Transformation', 'Strategy', 'Cloud Computing', 'Data Analysis', 'Strategy and Operations', 'Applied Machine Learning', 'Entrepreneurship', 'Leadership and Management', 'Algorithms', 'Artificial Neural Networks', 'Computer Vision', 'Deep Learning', 'Human Learning', 'Innovation', 'Machine Learning', 'Machine Learning Algorithms', 'Machine Learning Software', 'Marketing', 'Sales', 'Data Visualization', 'Research and Design', 'Business Design', 'Business Development', 'Customer Analysis', 'Product Strategy', 'Market Analysis', 'Data Management', 'Data Mining', 'Databases', 'Python Programming', 'SQL', 'Cloud Applications', 'Cloud Infrastructure', 'Cloud Platforms', 'Cloud Storage', 'Data Science', 'DevOps', 'IBM Cloud', 'NoSQL', 'R Programming', 'Microsoft Excel']","['Business Analysis', 'Strategy', 'Cloud Computing', 'Data Analysis', 'Strategy and Operations', 'Entrepreneurship', 'Leadership and Management', 'Algorithms', 'Human Learning', 'Machine Learning', 'Machine Learning Algorithms', 'Marketing', 'Data Visualization', 'Data Management', 'Databases', 'Python Programming']",1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1
IBM Data Engineering,"{"" Data Management"","" Databases"","" Database Administration"","" Extract"","" Transform"","" Load"","" Big Data"","" SQL"","" Python Programming"","" Apache"","" Database Design"","" Distributed Computing Architecture"","" Data Architecture"","" Database Application"","" NoSQL"","" Data Structures"","" Data Model"","" Data Warehousing"","" Cloud Computing"","" Database Theory"","" Data Engineering"","" Data Visualization"","" Computer Programming"","" Cloud Storage"","" IBM Cloud"","" Data Mining"","" Machine Learning"","" Cloud Applications"","" Data Analysis"","" Leadership and Management"","" Kubernetes"","" Software Architecture"","" PostgreSQL"","" Computational Thinking"","" Business Intelligence"","" Data Visualization Software"","" Linux"","" Network Security"","" Statistical Programming"","" Data Science""}",4.6,46200.0,Beginner , 3 - 6 Months,"['Data Management', 'Databases', 'Database Administration', 'Extract', 'Transform', 'Load', 'Big Data', 'SQL', 'Python Programming', 'Apache', 'Database Design', 'Distributed Computing Architecture', 'Data Architecture', 'Database Application', 'NoSQL', 'Data Structures', 'Data Model', 'Data Warehousing', 'Cloud Computing', 'Database Theory', 'Data Engineering', 'Data Visualization', 'Computer Programming', 'Cloud Storage', 'IBM Cloud', 'Data Mining', 'Machine Learning', 'Cloud Applications', 'Data Analysis', 'Leadership and Management', 'Kubernetes', 'Software Architecture', 'PostgreSQL', 'Computational Thinking', 'Business Intelligence', 'Data Visualization Software', 'Linux', 'Network Security', 'Statistical Programming', 'Data Science']","['Data Management', 'Databases', 'Python Programming', 'Cloud Computing', 'Data Visualization', 'Computer Programming', 'Machine Learning', 'Data Analysis', 'Leadership and Management']",0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
IBM Data Analytics with Excel and R,"{"" Data Analysis"","" R Programming"","" Computer Programming"","" Data Visualization"","" Data Management"","" Statistical Programming"","" Databases"","" Plot (Graphics)"","" Exploratory Data Analysis"","" Statistical Visualization"","" Data Analysis Software"","" Data Structures"","" Statistical Analysis"","" Microsoft Excel"","" SQL"","" Basic Descriptive Statistics"","" General Statistics"","" Interactive Data Visualization"","" Database Application"","" Extract"","" Transform"","" Load"","" Spreadsheet Software"","" Visualization (Computer Graphics)"","" Programming Principles"","" Regression"","" Database Administration"","" Database Design"","" Database Theory"","" Computer Programming Tools"","" Correlation And Dependence"","" Data Mining"","" Data Visualization Software"","" Statistical Machine Learning"","" Visual Design"","" Business Analysis"","" Python Programming"","" Data Science"","" NoSQL""}",4.7,19900.0,Beginner , 3 - 6 Months,"['Data Analysis', 'R Programming', 'Computer Programming', 'Data Visualization', 'Data Management', 'Statistical Programming', 'Databases', 'Plot (Graphics)', 'Exploratory Data Analysis', 'Statistical Visualization', 'Data Analysis Software', 'Data Structures', 'Statistical Analysis', 'Microsoft Excel', 'SQL', 'Basic Descriptive Statistics', 'General Statistics', 'Interactive Data Visualization', 'Database Application', 'Extract', 'Transform', 'Load', 'Spreadsheet Software', 'Visualization (Computer Graphics)', 'Programming Principles', 'Regression', 'Database Administration', 'Database Design', 'Database Theory', 'Computer Programming Tools', 'Correlation And Dependence', 'Data Mining', 'Data Visualization Software', 'Statistical Machine Learning', 'Visual Design', 'Business Analysis', 'Python Programming', 'Data Science', 'NoSQL']","['Data Analysis', 'Computer Programming', 'Data Visualization', 'Data Management', 'Databases', 'General Statistics', 'Business Analysis', 'Python Programming']",0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Data Analysis and Visualization Foundations,"{"" Microsoft Excel"","" Spreadsheet Software"","" Data Visualization"","" Data Analysis"","" Plot (Graphics)"","" Databases"","" Python Programming"","" SQL"","" Statistical Visualization"","" Business Analysis"","" Data Management"","" Data Mining"","" Data Science"","" Interactive Data Visualization"","" NoSQL"","" R Programming"","" Data Visualization Software""}",4.7,19300.0,Beginner , 3 - 6 Months,"['Microsoft Excel', 'Spreadsheet Software', 'Data Visualization', 'Data Analysis', 'Plot (Graphics)', 'Databases', 'Python Programming', 'SQL', 'Statistical Visualization', 'Business Analysis', 'Data Management', 'Data Mining', 'Data Science', 'Interactive Data Visualization', 'NoSQL', 'R Programming', 'Data Visualization Software']","['Data Visualization', 'Data Analysis', 'Databases', 'Python Programming', 'Business Analysis', 'Data Management']",0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Deep Learning,"{"" Machine Learning"","" Deep Learning"","" Artificial Neural Networks"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Python Programming"","" Machine Learning Software"","" Network Model"","" Algorithms"","" Computer Programming"","" Computer Vision"","" Network Architecture"","" Natural Language Processing"","" Tensorflow"","" Human Learning"","" Data Analysis"","" Exploratory Data Analysis"","" Organizational Development"","" Strategy"","" Mathematics"","" Mathematical Theory & Analysis"","" Linear Algebra"","" Regression"","" Calculus""}",4.8,141500.0,Intermediate , 3 - 6 Months,"['Machine Learning', 'Deep Learning', 'Artificial Neural Networks', 'Machine Learning Algorithms', 'Applied Machine Learning', 'Python Programming', 'Machine Learning Software', 'Network Model', 'Algorithms', 'Computer Programming', 'Computer Vision', 'Network Architecture', 'Natural Language Processing', 'Tensorflow', 'Human Learning', 'Data Analysis', 'Exploratory Data Analysis', 'Organizational Development', 'Strategy', 'Mathematics', 'Mathematical Theory & Analysis', 'Linear Algebra', 'Regression', 'Calculus']","['Machine Learning', 'Machine Learning Algorithms', 'Python Programming', 'Algorithms', 'Computer Programming', 'Human Learning', 'Data Analysis', 'Strategy']",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0
IBM AI Foundations for Business,"{"" Machine Learning"","" Data Analysis"","" Applied Machine Learning"","" Data Management"","" Leadership and Management"","" Machine Learning Algorithms"","" Algorithms"","" Artificial Neural Networks"","" Business Process Management"","" Computer Vision"","" Data Architecture"","" Deep Learning"","" Human Learning"","" Machine Learning Software"","" Data Science"","" Strategy and Operations"","" Business Transformation"","" Cloud Computing"","" Strategy"","" Big Data"","" Data Mining"","" Innovation"","" Regression"","" Writing""}",4.7,77200.0,Beginner , 1 - 3 Months,"['Machine Learning', 'Data Analysis', 'Applied Machine Learning', 'Data Management', 'Leadership and Management', 'Machine Learning Algorithms', 'Algorithms', 'Artificial Neural Networks', 'Business Process Management', 'Computer Vision', 'Data Architecture', 'Deep Learning', 'Human Learning', 'Machine Learning Software', 'Data Science', 'Strategy and Operations', 'Business Transformation', 'Cloud Computing', 'Strategy', 'Big Data', 'Data Mining', 'Innovation', 'Regression', 'Writing']","['Machine Learning', 'Data Analysis', 'Data Management', 'Leadership and Management', 'Machine Learning Algorithms', 'Algorithms', 'Human Learning', 'Strategy and Operations', 'Cloud Computing', 'Strategy']",1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1
Data Engineering Foundations,"{"" Data Management"","" Python Programming"","" Databases"","" Data Structures"","" Data Engineering"","" Database Application"","" SQL"","" Database Administration"","" Database Design"","" Extract"","" Transform"","" Load"","" Computer Programming"","" Data Architecture"","" Database Theory"","" Data Mining"","" Data Model"","" Data Analysis"","" Leadership and Management"","" Computational Thinking"","" Data Warehousing"","" PostgreSQL"","" Big Data"","" IBM Cloud"","" Network Security"","" NoSQL"","" Cloud Computing"","" Data Science""}",4.6,45100.0,Beginner , 3 - 6 Months,"['Data Management', 'Python Programming', 'Databases', 'Data Structures', 'Data Engineering', 'Database Application', 'SQL', 'Database Administration', 'Database Design', 'Extract', 'Transform', 'Load', 'Computer Programming', 'Data Architecture', 'Database Theory', 'Data Mining', 'Data Model', 'Data Analysis', 'Leadership and Management', 'Computational Thinking', 'Data Warehousing', 'PostgreSQL', 'Big Data', 'IBM Cloud', 'Network Security', 'NoSQL', 'Cloud Computing', 'Data Science']","['Data Management', 'Python Programming', 'Databases', 'Computer Programming', 'Data Analysis', 'Leadership and Management', 'Cloud Computing']",0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
