course_title,rating,review_count,skills_list,platform,level,duration,skills_text,internet of things,microsoft excel,python programming,securities trading,google app engine,microsoft azure,javascript,java programming,basic descriptive statistics,database application,financial analysis,financial accounting,financial management,c programming language family,cloud api,sql,power bi,natural language processing,html and css,react,game theory,google cloud platform,software testing,application development,website
Generative AI for Everyone,4.9,188.0,"['writing', 'strategy']",coursera,1,43.45,writing | strategy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBM DevOps and Software Engineering,4.6,43200.0,"['devops', 'continuous delivery', 'software-defined networking', 'kubernetes', 'continuous integration', 'cloud platforms', 'programming principles', 'cloud computing', 'docker (software)', 'software testing', 'collaboration', 'cloud applications', 'cloud storage', 'linux', 'software architecture', 'python programming', 'cloud infrastructure', 'software engineering tools', 'ibm cloud', 'security engineering', 'cloud-based integration', 'data analysis', 'microarchitecture', 'software engineering', 'product management', 'scrum (software development)', 'software security', 'agile software development', 'communication', 'computer programming', 'application development', 'mergers & acquisitions', 'leadership and management']",coursera,1,78.21,devops | continuous delivery | software-defined networking | kubernetes | continuous integration | cloud platforms | programming principles | cloud computing | docker (software) | software testing | collaboration | cloud applications | cloud storage | linux | software architecture | python programming | cloud infrastructure | software engineering tools | ibm cloud | security engineering | cloud-based integration | data analysis | microarchitecture | software engineering | product management | scrum (software development) | software security | agile software development | communication | computer programming | application development | mergers & acquisitions | leadership and management,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
IBM Full Stack Software Developer,4.6,41200.0,"['devops', 'continuous delivery', 'kubernetes', 'cloud platforms', 'full-stack web development', 'continuous integration', 'cloud computing', 'web development', 'docker (software)', 'databases', 'nosql', 'javascript', 'react (web framework)', 'sql', 'collaboration', 'cloud applications', 'cloud storage', 'software architecture', 'python programming', 'cloud infrastructure', 'cloud api', 'ibm cloud', 'software engineering tools', 'database application', 'computer science', 'cloud-based integration', 'cloud management', 'data analysis', 'microarchitecture', 'django (web framework)', 'software engineering', 'software as a service', 'web development tools', 'computer programming', 'application development', 'mergers & acquisitions', 'data management', 'leadership and management']",coursera,1,78.21,devops | continuous delivery | kubernetes | cloud platforms | full-stack web development | continuous integration | cloud computing | web development | docker (software) | databases | nosql | javascript | react (web framework) | sql | collaboration | cloud applications | cloud storage | software architecture | python programming | cloud infrastructure | cloud api | ibm cloud | software engineering tools | database application | computer science | cloud-based integration | cloud management | data analysis | microarchitecture | django (web framework) | software engineering | software as a service | web development tools | computer programming | application development | mergers & acquisitions | data management | leadership and management,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Key Technologies for Business,4.7,81500.0,"['devops', 'big data', 'cloud platforms', 'artificial neural networks', 'regression', 'cloud computing', 'computer vision', 'applied machine learning', 'machine learning', 'machine learning software', 'cloud applications', 'cloud storage', 'writing', 'cloud infrastructure', 'ibm cloud', 'deep learning', 'data analysis', 'data mining', 'machine learning algorithms', 'algorithms', 'human learning', 'data science']",coursera,1,34.76,devops | big data | cloud platforms | artificial neural networks | regression | cloud computing | computer vision | applied machine learning | machine learning | machine learning software | cloud applications | cloud storage | writing | cloud infrastructure | ibm cloud | deep learning | data analysis | data mining | machine learning algorithms | algorithms | human learning | data science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Science Fundamentals with Python and SQL,4.6,59200.0,"['database design', 'cloud computing', 'databases', 'mathematical theory & analysis', 'sql', 'basic descriptive statistics', 'python programming', 'ibm cloud', 'computational thinking', 'database application', 'probability & statistics', 'data analysis', 'plot (graphics)', 'database theory', 'general statistics', 'r programming', 'data science', 'computer programming', 'statistical analysis', 'data management', 'statistical tests', 'statistical programming']",coursera,1,78.21,database design | cloud computing | databases | mathematical theory & analysis | sql | basic descriptive statistics | python programming | ibm cloud | computational thinking | database application | probability & statistics | data analysis | plot (graphics) | database theory | general statistics | r programming | data science | computer programming | statistical analysis | data management | statistical tests | statistical programming,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IBM & Darden Digital Strategy,4.7,29700.0,"['devops', 'research and design', 'product strategy', 'artificial neural networks', 'cloud platforms', 'cloud computing', 'business transformation', 'computer vision', 'applied machine learning', 'machine learning', 'business design', 'databases', 'nosql', 'sql', 'machine learning software', 'innovation', 'cloud applications', 'cloud storage', 'business development', 'microsoft excel', 'python programming', 'cloud infrastructure', 'ibm cloud', 'deep learning', 'data analysis', 'sales', 'machine learning algorithms', 'data mining', 'marketing', 'algorithms', 'business analysis', 'r programming', 'human learning', 'strategy and operations', 'entrepreneurship', 'data science', 'strategy', 'customer analysis', 'data visualization', 'data management', 'leadership and management', 'market analysis']",coursera,1,78.21,devops | research and design | product strategy | artificial neural networks | cloud platforms | cloud computing | business transformation | computer vision | applied machine learning | machine learning | business design | databases | nosql | sql | machine learning software | innovation | cloud applications | cloud storage | business development | microsoft excel | python programming | cloud infrastructure | ibm cloud | deep learning | data analysis | sales | machine learning algorithms | data mining | marketing | algorithms | business analysis | r programming | human learning | strategy and operations | entrepreneurship | data science | strategy | customer analysis | data visualization | data management | leadership and management | market analysis,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IBM Data Engineering,4.6,46200.0,"['data engineering', 'data visualization software', 'kubernetes', 'big data', 'data model', 'network security', 'database design', 'apache', 'cloud computing', 'machine learning', 'databases', 'data structures', 'database administration', 'nosql', 'transform', 'load', 'sql', 'cloud storage', 'cloud applications', 'software architecture', 'linux', 'python programming', 'ibm cloud', 'computational thinking', 'database application', 'business intelligence', 'data architecture', 'data analysis', 'data mining', 'extract', 'database theory', 'postgresql', 'data warehousing', 'distributed computing architecture', 'data science', 'computer programming', 'data visualization', 'data management', 'leadership and management', 'statistical programming']",coursera,1,78.21,data engineering | data visualization software | kubernetes | big data | data model | network security | database design | apache | cloud computing | machine learning | databases | data structures | database administration | nosql | transform | load | sql | cloud storage | cloud applications | software architecture | linux | python programming | ibm cloud | computational thinking | database application | business intelligence | data architecture | data analysis | data mining | extract | database theory | postgresql | data warehousing | distributed computing architecture | data science | computer programming | data visualization | data management | leadership and management | statistical programming,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IBM Data Analytics with Excel and R,4.7,19900.0,"['data visualization software', 'visual design', 'programming principles', 'computer programming tools', 'database design', 'regression', 'visualization (computer graphics)', 'databases', 'data structures', 'interactive data visualization', 'nosql', 'transform', 'load', 'correlation and dependence', 'sql', 'basic descriptive statistics', 'microsoft excel', 'python programming', 'database application', 'exploratory data analysis', 'data analysis', 'data mining', 'plot (graphics)', 'business analysis', 'extract', 'database theory', 'spreadsheet software', 'general statistics', 'data visualization', 'r programming', 'statistical visualization', 'data analysis software', 'data science', 'computer programming', 'statistical machine learning', 'statistical analysis', 'database administration', 'data management', 'statistical programming']",coursera,1,78.21,data visualization software | visual design | programming principles | computer programming tools | database design | regression | visualization (computer graphics) | databases | data structures | interactive data visualization | nosql | transform | load | correlation and dependence | sql | basic descriptive statistics | microsoft excel | python programming | database application | exploratory data analysis | data analysis | data mining | plot (graphics) | business analysis | extract | database theory | spreadsheet software | general statistics | data visualization | r programming | statistical visualization | data analysis software | data science | computer programming | statistical machine learning | statistical analysis | database administration | data management | statistical programming,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Data Analysis and Visualization Foundations,4.7,19300.0,"['data visualization software', 'spreadsheet software', 'databases', 'interactive data visualization', 'statistical visualization', 'nosql', 'r programming', 'sql', 'data science', 'data analysis', 'business analysis', 'data mining', 'data visualization', 'python programming', 'plot (graphics)', 'microsoft excel', 'data management']",coursera,1,78.21,data visualization software | spreadsheet software | databases | interactive data visualization | statistical visualization | nosql | r programming | sql | data science | data analysis | business analysis | data mining | data visualization | python programming | plot (graphics) | microsoft excel | data management,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Deep Learning,4.8,141500.0,"['tensorflow', 'artificial neural networks', 'mathematics', 'natural language processing', 'regression', 'computer vision', 'machine learning', 'applied machine learning', 'linear algebra', 'mathematical theory & analysis', 'machine learning software', 'calculus', 'python programming', 'network model', 'exploratory data analysis', 'deep learning', 'network architecture', 'data analysis', 'machine learning algorithms', 'algorithms', 'human learning', 'organizational development', 'computer programming', 'strategy']",coursera,2,78.21,tensorflow | artificial neural networks | mathematics | natural language processing | regression | computer vision | machine learning | applied machine learning | linear algebra | mathematical theory & analysis | machine learning software | calculus | python programming | network model | exploratory data analysis | deep learning | network architecture | data analysis | machine learning algorithms | algorithms | human learning | organizational development | computer programming | strategy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IBM AI Foundations for Business,4.7,77200.0,"['big data', 'artificial neural networks', 'regression', 'business transformation', 'cloud computing', 'computer vision', 'machine learning', 'applied machine learning', 'machine learning software', 'innovation', 'writing', 'deep learning', 'data architecture', 'data analysis', 'business process management', 'data mining', 'machine learning algorithms', 'algorithms', 'human learning', 'strategy and operations', 'data science', 'strategy', 'data management', 'leadership and management']",coursera,1,34.76,big data | artificial neural networks | regression | business transformation | cloud computing | computer vision | machine learning | applied machine learning | machine learning software | innovation | writing | deep learning | data architecture | data analysis | business process management | data mining | machine learning algorithms | algorithms | human learning | strategy and operations | data science | strategy | data management | leadership and management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineering Foundations,4.6,45100.0,"['data engineering', 'big data', 'data model', 'network security', 'database design', 'cloud computing', 'databases', 'data structures', 'nosql', 'transform', 'load', 'sql', 'python programming', 'ibm cloud', 'computational thinking', 'database application', 'data architecture', 'data analysis', 'data mining', 'database theory', 'extract', 'postgresql', 'data warehousing', 'data science', 'computer programming', 'database administration', 'data management', 'leadership and management']",coursera,1,78.21,data engineering | big data | data model | network security | database design | cloud computing | databases | data structures | nosql | transform | load | sql | python programming | ibm cloud | computational thinking | database application | data architecture | data analysis | data mining | database theory | extract | postgresql | data warehousing | data science | computer programming | database administration | data management | leadership and management,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IBM Back-End Development,4.6,36700.0,"['devops', 'software-defined networking', 'kubernetes', 'programming principles', 'cloud computing', 'web development', 'docker (software)', 'databases', 'sql', 'collaboration', 'cloud applications', 'linux', 'software architecture', 'python programming', 'cloud infrastructure', 'software engineering tools', 'ibm cloud', 'security engineering', 'database application', 'cloud-based integration', 'data analysis', 'microarchitecture', 'django (web framework)', 'software engineering', 'product management', 'software security', 'agile software development', 'communication', 'computer programming', 'application development', 'mergers & acquisitions', 'data management', 'leadership and management']",coursera,1,78.21,devops | software-defined networking | kubernetes | programming principles | cloud computing | web development | docker (software) | databases | sql | collaboration | cloud applications | linux | software architecture | python programming | cloud infrastructure | software engineering tools | ibm cloud | security engineering | database application | cloud-based integration | data analysis | microarchitecture | django (web framework) | software engineering | product management | software security | agile software development | communication | computer programming | application development | mergers & acquisitions | data management | leadership and management,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Applied Data Science,4.6,48500.0,"['machine learning', 'general statistics', 'probability & statistics', 'exploratory data analysis', 'statistical visualization', 'data science', 'data analysis', 'computer programming', 'regression', 'statistical programming', 'machine learning algorithms', 'data visualization', 'python programming', 'plot (graphics)', 'algorithms']",coursera,1,78.21,machine learning | general statistics | probability & statistics | exploratory data analysis | statistical visualization | data science | data analysis | computer programming | regression | statistical programming | machine learning algorithms | data visualization | python programming | plot (graphics) | algorithms,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBM Applied AI,4.6,46200.0,"['artificial neural networks', 'natural language processing', 'visualization (computer graphics)', 'cloud computing', 'computer vision', 'machine learning', 'applied machine learning', 'user experience design', 'machine learning software', 'cloud applications', 'python programming', 'cloud api', 'ibm cloud', 'deep learning', 'human computer interaction', 'data analysis', 'machine learning algorithms', 'algorithms', 'human learning', 'software as a service', 'data science', 'computer programming', 'application development', 'computer programming tools']",coursera,1,78.21,artificial neural networks | natural language processing | visualization (computer graphics) | cloud computing | computer vision | machine learning | applied machine learning | user experience design | machine learning software | cloud applications | python programming | cloud api | ibm cloud | deep learning | human computer interaction | data analysis | machine learning algorithms | algorithms | human learning | software as a service | data science | computer programming | application development | computer programming tools,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Excel Skills for Business,4.9,59000.0,"['spreadsheet software', 'databases', 'data model', 'finance', 'data analysis', 'business analysis', 'microsoft excel', 'data visualization', 'plot (graphics)', 'leadership and management']",coursera,1,78.21,spreadsheet software | databases | data model | finance | data analysis | business analysis | microsoft excel | data visualization | plot (graphics) | leadership and management,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Software Engineering Fundamentals,4.6,36000.0,"['software engineering tools', 'software engineering', 'software-defined networking', 'product management', 'software architecture', 'agile software development', 'communication', 'programming principles', 'collaboration', 'data analysis', 'computer programming', 'application development', 'mergers & acquisitions', 'linux', 'python programming', 'leadership and management']",coursera,1,78.21,software engineering tools | software engineering | software-defined networking | product management | software architecture | agile software development | communication | programming principles | collaboration | data analysis | computer programming | application development | mergers & acquisitions | linux | python programming | leadership and management,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Generative AI with Large Language Models,4.8,1300.0,"['machine learning', 'python programming', 'natural language processing']",coursera,2,43.45,machine learning | python programming | natural language processing,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Google Advanced Data Analytics,4.7,2200.0,"['machine learning', 'general statistics', 'exploratory data analysis', 'project management', 'tableau software', 'communication', 'data analysis', 'computer programming', 'probability distribution', 'statistical analysis', 'python programming', 'regression', 'planning']",coursera,3,78.21,machine learning | general statistics | exploratory data analysis | project management | tableau software | communication | data analysis | computer programming | probability distribution | statistical analysis | python programming | regression | planning,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DevOps, Cloud, and Agile Foundations",4.7,7700.0,"['devops', 'continuous delivery', 'software engineering', 'scrum (software development)', 'agile software development', 'continuous integration', 'cloud platforms', 'cloud infrastructure', 'cloud applications', 'cloud storage', 'cloud computing', 'leadership and management', 'ibm cloud']",coursera,1,78.21,devops | continuous delivery | software engineering | scrum (software development) | agile software development | continuous integration | cloud platforms | cloud infrastructure | cloud applications | cloud storage | cloud computing | leadership and management | ibm cloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta Front-End Developer,4.7,14700.0,"['user experience', 'web development', 'interactive design', 'data structures', 'javascript', 'react (web framework)', 'web design', 'collaboration', 'software testing', 'linux', 'software engineering tools', 'computer science', 'problem solving', 'human computer interaction', 'html and css', 'algorithms', 'front-end web development', 'software engineering', 'product design', 'communication', 'web development tools', 'computer programming', 'application development']",coursera,1,78.21,user experience | web development | interactive design | data structures | javascript | react (web framework) | web design | collaboration | software testing | linux | software engineering tools | computer science | problem solving | human computer interaction | html and css | algorithms | front-end web development | software engineering | product design | communication | web development tools | computer programming | application development,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Cloud Application Development Foundations,4.6,6100.0,"['devops', 'continuous delivery', 'cloud platforms', 'continuous integration', 'cloud computing', 'web development', 'nosql', 'javascript', 'react (web framework)', 'cloud applications', 'cloud storage', 'cloud infrastructure', 'cloud api', 'ibm cloud', 'computer science', 'cloud management', 'software as a service', 'web development tools', 'computer programming']",coursera,1,78.21,devops | continuous delivery | cloud platforms | continuous integration | cloud computing | web development | nosql | javascript | react (web framework) | cloud applications | cloud storage | cloud infrastructure | cloud api | ibm cloud | computer science | cloud management | software as a service | web development tools | computer programming,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Foundations of Project Management,4.9,73700.0,"['emotional intelligence', 'culture', 'project management', 'strategy and operations', 'organizational development', 'people management', 'communication', 'business communication', 'influencing', 'planning', 'leadership and management', 'change management']",coursera,1,43.45,emotional intelligence | culture | project management | strategy and operations | organizational development | people management | communication | business communication | influencing | planning | leadership and management | change management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foundations of Cybersecurity,4.9,11800.0,"['computer programming', 'leadership and management', 'sql', 'linux']",coursera,1,43.45,computer programming | leadership and management | sql | linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IBM IT Support,4.7,6600.0,"['devops', 'cloud platforms', 'information technology', 'network security', 'cyberattacks', 'cloud computing', 'customer success', 'databases', 'cloud storage', 'cloud applications', 'system security', 'customer support', 'ibm cloud', 'cloud infrastructure', 'security engineering', 'network architecture', 'networking hardware', 'operating systems', 'computer networking', 'software engineering', 'strategy and operations', 'communication', 'computer programming', 'cryptography', 'leadership and management']",coursera,1,78.21,devops | cloud platforms | information technology | network security | cyberattacks | cloud computing | customer success | databases | cloud storage | cloud applications | system security | customer support | ibm cloud | cloud infrastructure | security engineering | network architecture | networking hardware | operating systems | computer networking | software engineering | strategy and operations | communication | computer programming | cryptography | leadership and management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foundations: Data, Data, Everywhere",4.8,93900.0,"['spreadsheet software', 'databases', 'sql', 'data science', 'data analysis', 'microsoft excel', 'data visualization', 'business analysis']",coursera,1,34.76,spreadsheet software | databases | sql | data science | data analysis | microsoft excel | data visualization | business analysis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IBM IT Project Manager,4.8,2400.0,"['software-defined networking', 'risk management', 'programming principles', 'information technology', 'cloud computing', 'cloud applications', 'software architecture', 'python programming', 'software engineering tools', 'ibm cloud', 'operating systems', 'software engineering', 'product management', 'project management', 'scrum (software development)', 'agile software development', 'communication', 'computer programming', 'application development', 'leadership and management']",coursera,1,78.21,software-defined networking | risk management | programming principles | information technology | cloud computing | cloud applications | software architecture | python programming | software engineering tools | ibm cloud | operating systems | software engineering | product management | project management | scrum (software development) | agile software development | communication | computer programming | application development | leadership and management,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Google IT Automation with Python,4.7,42000.0,"['google cloud platform', 'problem solving', 'data structures', 'cloud platforms', 'collaboration', 'computer programming', 'python programming', 'cloud computing', 'leadership and management']",coursera,1,78.21,google cloud platform | problem solving | data structures | cloud platforms | collaboration | computer programming | python programming | cloud computing | leadership and management,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Information Technology (IT) and Cloud Fundamentals,4.7,6100.0,"['devops', 'cloud platforms', 'network security', 'cyberattacks', 'cloud computing', 'databases', 'cloud storage', 'cloud applications', 'system security', 'cloud infrastructure', 'ibm cloud', 'security engineering', 'network architecture', 'networking hardware', 'operating systems', 'computer networking', 'software engineering', 'computer programming', 'cryptography']",coursera,1,78.21,devops | cloud platforms | network security | cyberattacks | cloud computing | databases | cloud storage | cloud applications | system security | cloud infrastructure | ibm cloud | security engineering | network architecture | networking hardware | operating systems | computer networking | software engineering | computer programming | cryptography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prompt Engineering,4.8,1800.0,"['problem solving', 'data analysis', 'writing', 'creativity']",coursera,1,34.76,problem solving | data analysis | writing | creativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft Power BI Data Analyst,4.6,907.0,"['transform', 'load', 'sql', 'data model', 'data analysis', 'data mining', 'data management', 'power bi', 'microsoft excel', 'extract']",coursera,1,78.21,transform | load | sql | data model | data analysis | data mining | data management | power bi | microsoft excel | extract,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
