course_title,skills,rating,review_count,level,duration
Generative AI for Everyone,"{"" Strategy"","" Writing""}",4.9,188.0,Beginner , 1 - 4 Weeks
IBM DevOps and Software Engineering,"{"" DevOps"","" Software Engineering"","" Cloud Computing"","" Computer Programming"","" Application Development"","" Python Programming"","" Software Architecture"","" Cloud Applications"","" Continuous Delivery"","" Continuous Integration"","" Software Engineering Tools"","" Agile Software Development"","" Programming Principles"","" Security Engineering"","" Software Testing"","" Cloud Infrastructure"","" Kubernetes"","" Cloud-Based Integration"","" Microarchitecture"","" Cloud Platforms"","" Communication"","" IBM Cloud"","" Scrum (Software Development)"","" Software Security"","" Cloud Storage"","" Docker (Software)"","" Linux"","" Product Management"","" Software-Defined Networking"","" Collaboration"","" Leadership and Management"","" Data Analysis"","" Mergers & Acquisitions""}",4.6,43200.0,Beginner , 3 - 6 Months
IBM Full Stack Software Developer,"{"" Cloud Computing"","" Python Programming"","" Cloud Applications"","" Computer Programming"","" IBM Cloud"","" Application Development"","" Cloud Infrastructure"","" DevOps"","" Web Development"","" Cloud Management"","" Cloud Platforms"","" Javascript"","" Software Architecture"","" Cloud API"","" Cloud Storage"","" Cloud-Based Integration"","" Full-Stack Web Development"","" Software Engineering"","" Continuous Delivery"","" Continuous Integration"","" Docker (Software)"","" Software As A Service"","" Web Development Tools"","" Microarchitecture"","" Django (Web Framework)"","" Database Application"","" Databases"","" Kubernetes"","" SQL"","" Software Engineering Tools"","" Data Management"","" NoSQL"","" Collaboration"","" Computer Science"","" Data Analysis"","" Leadership and Management"","" Mergers & Acquisitions"","" React (web framework)""}",4.6,41200.0,Beginner , 3 - 6 Months
Key Technologies for Business,"{"" Algorithms"","" Applied Machine Learning"","" Artificial Neural Networks"","" Computer Vision"","" Deep Learning"","" Human Learning"","" Machine Learning"","" Machine Learning Algorithms"","" Machine Learning Software"","" Cloud Computing"","" Data Science"","" Data Analysis"","" Big Data"","" Data Mining"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Storage"","" DevOps"","" IBM Cloud"","" Regression"","" Writing""}",4.7,81500.0,Beginner , 1 - 3 Months
Data Science Fundamentals with Python and SQL,"{"" Python Programming"","" Data Analysis"","" General Statistics"","" Probability & Statistics"","" Basic Descriptive Statistics"","" Statistical Analysis"","" Statistical Tests"","" Mathematical Theory & Analysis"","" Statistical Programming"","" Computer Programming"","" Data Science"","" Plot (Graphics)"","" R Programming"","" Computational Thinking"","" Data Management"","" Database Application"","" Database Design"","" Database Theory"","" Databases"","" SQL"","" Cloud Computing"","" IBM Cloud""}",4.6,59200.0,Beginner , 3 - 6 Months
IBM & Darden Digital Strategy,"{"" Business Analysis"","" Business Transformation"","" Strategy"","" Cloud Computing"","" Data Analysis"","" Strategy and Operations"","" Applied Machine Learning"","" Entrepreneurship"","" Leadership and Management"","" Algorithms"","" Artificial Neural Networks"","" Computer Vision"","" Deep Learning"","" Human Learning"","" Innovation"","" Machine Learning"","" Machine Learning Algorithms"","" Machine Learning Software"","" Marketing"","" Sales"","" Data Visualization"","" Research and Design"","" Business Design"","" Business Development"","" Customer Analysis"","" Product Strategy"","" Market Analysis"","" Data Management"","" Data Mining"","" Databases"","" Python Programming"","" SQL"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Storage"","" Data Science"","" DevOps"","" IBM Cloud"","" NoSQL"","" R Programming"","" Microsoft Excel""}",4.7,29700.0,Beginner , 3 - 6 Months
IBM Data Engineering,"{"" Data Management"","" Databases"","" Database Administration"","" Extract"","" Transform"","" Load"","" Big Data"","" SQL"","" Python Programming"","" Apache"","" Database Design"","" Distributed Computing Architecture"","" Data Architecture"","" Database Application"","" NoSQL"","" Data Structures"","" Data Model"","" Data Warehousing"","" Cloud Computing"","" Database Theory"","" Data Engineering"","" Data Visualization"","" Computer Programming"","" Cloud Storage"","" IBM Cloud"","" Data Mining"","" Machine Learning"","" Cloud Applications"","" Data Analysis"","" Leadership and Management"","" Kubernetes"","" Software Architecture"","" PostgreSQL"","" Computational Thinking"","" Business Intelligence"","" Data Visualization Software"","" Linux"","" Network Security"","" Statistical Programming"","" Data Science""}",4.6,46200.0,Beginner , 3 - 6 Months
IBM Data Analytics with Excel and R,"{"" Data Analysis"","" R Programming"","" Computer Programming"","" Data Visualization"","" Data Management"","" Statistical Programming"","" Databases"","" Plot (Graphics)"","" Exploratory Data Analysis"","" Statistical Visualization"","" Data Analysis Software"","" Data Structures"","" Statistical Analysis"","" Microsoft Excel"","" SQL"","" Basic Descriptive Statistics"","" General Statistics"","" Interactive Data Visualization"","" Database Application"","" Extract"","" Transform"","" Load"","" Spreadsheet Software"","" Visualization (Computer Graphics)"","" Programming Principles"","" Regression"","" Database Administration"","" Database Design"","" Database Theory"","" Computer Programming Tools"","" Correlation And Dependence"","" Data Mining"","" Data Visualization Software"","" Statistical Machine Learning"","" Visual Design"","" Business Analysis"","" Python Programming"","" Data Science"","" NoSQL""}",4.7,19900.0,Beginner , 3 - 6 Months
Data Analysis and Visualization Foundations,"{"" Microsoft Excel"","" Spreadsheet Software"","" Data Visualization"","" Data Analysis"","" Plot (Graphics)"","" Databases"","" Python Programming"","" SQL"","" Statistical Visualization"","" Business Analysis"","" Data Management"","" Data Mining"","" Data Science"","" Interactive Data Visualization"","" NoSQL"","" R Programming"","" Data Visualization Software""}",4.7,19300.0,Beginner , 3 - 6 Months
Deep Learning,"{"" Machine Learning"","" Deep Learning"","" Artificial Neural Networks"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Python Programming"","" Machine Learning Software"","" Network Model"","" Algorithms"","" Computer Programming"","" Computer Vision"","" Network Architecture"","" Natural Language Processing"","" Tensorflow"","" Human Learning"","" Data Analysis"","" Exploratory Data Analysis"","" Organizational Development"","" Strategy"","" Mathematics"","" Mathematical Theory & Analysis"","" Linear Algebra"","" Regression"","" Calculus""}",4.8,141500.0,Intermediate , 3 - 6 Months
IBM AI Foundations for Business,"{"" Machine Learning"","" Data Analysis"","" Applied Machine Learning"","" Data Management"","" Leadership and Management"","" Machine Learning Algorithms"","" Algorithms"","" Artificial Neural Networks"","" Business Process Management"","" Computer Vision"","" Data Architecture"","" Deep Learning"","" Human Learning"","" Machine Learning Software"","" Data Science"","" Strategy and Operations"","" Business Transformation"","" Cloud Computing"","" Strategy"","" Big Data"","" Data Mining"","" Innovation"","" Regression"","" Writing""}",4.7,77200.0,Beginner , 1 - 3 Months
Data Engineering Foundations,"{"" Data Management"","" Python Programming"","" Databases"","" Data Structures"","" Data Engineering"","" Database Application"","" SQL"","" Database Administration"","" Database Design"","" Extract"","" Transform"","" Load"","" Computer Programming"","" Data Architecture"","" Database Theory"","" Data Mining"","" Data Model"","" Data Analysis"","" Leadership and Management"","" Computational Thinking"","" Data Warehousing"","" PostgreSQL"","" Big Data"","" IBM Cloud"","" Network Security"","" NoSQL"","" Cloud Computing"","" Data Science""}",4.6,45100.0,Beginner , 3 - 6 Months
IBM Back-End Development,"{"" Application Development"","" Software Engineering"","" Python Programming"","" Computer Programming"","" Software Architecture"","" DevOps"","" Software Engineering Tools"","" Cloud Applications"","" Cloud Computing"","" Security Engineering"","" Programming Principles"","" Web Development"","" Cloud Infrastructure"","" Cloud-Based Integration"","" Microarchitecture"","" Agile Software Development"","" Communication"","" IBM Cloud"","" Kubernetes"","" Software Security"","" Data Management"","" Database Application"","" Databases"","" Docker (Software)"","" Linux"","" Product Management"","" SQL"","" Software-Defined Networking"","" Collaboration"","" Django (Web Framework)"","" Leadership and Management"","" Data Analysis"","" Mergers & Acquisitions""}",4.6,36700.0,Beginner , 3 - 6 Months
Applied Data Science,"{"" Python Programming"","" Data Visualization"","" Statistical Programming"","" Data Analysis"","" Machine Learning"","" Statistical Visualization"","" Plot (Graphics)"","" Algorithms"","" Computer Programming"","" Data Science"","" Exploratory Data Analysis"","" General Statistics"","" Machine Learning Algorithms"","" Probability & Statistics"","" Regression""}",4.6,48500.0,Beginner , 3 - 6 Months
IBM Applied AI,"{"" Machine Learning"","" Deep Learning"","" Machine Learning Algorithms"","" Artificial Neural Networks"","" Python Programming"","" Cloud Computing"","" Computer Vision"","" Human Learning"","" IBM Cloud"","" Applied Machine Learning"","" Algorithms"","" Cloud API"","" Machine Learning Software"","" Natural Language Processing"","" Human Computer Interaction"","" Computer Programming"","" Cloud Applications"","" Computer Programming Tools"","" Application Development"","" Visualization (Computer Graphics)"","" Data Analysis"","" Software As A Service"","" User Experience Design"","" Data Science""}",4.6,46200.0,Beginner , 3 - 6 Months
Excel Skills for Business,"{"" Spreadsheet Software"","" Business Analysis"","" Microsoft Excel"","" Data Analysis"","" Plot (Graphics)"","" Data Visualization"","" Data Model"","" Databases"","" Finance"","" Leadership and Management""}",4.9,59000.0,Beginner , 3 - 6 Months
Applied Software Engineering Fundamentals,"{"" Python Programming"","" Computer Programming"","" Software Engineering"","" Application Development"","" Programming Principles"","" Software Architecture"","" Software Engineering Tools"","" Agile Software Development"","" Communication"","" Product Management"","" Software-Defined Networking"","" Collaboration"","" Leadership and Management"","" Linux"","" Data Analysis"","" Mergers & Acquisitions""}",4.6,36000.0,Beginner , 3 - 6 Months
Generative AI with Large Language Models,"{"" Machine Learning"","" Natural Language Processing"","" Python Programming""}",4.8,1300.0,Intermediate , 1 - 4 Weeks
Google Advanced Data Analytics,"{"" Communication"","" Computer Programming"","" Data Analysis"","" Exploratory Data Analysis"","" General Statistics"","" Machine Learning"","" Planning"","" Probability Distribution"","" Project Management"","" Python Programming"","" Regression"","" Statistical Analysis"","" Tableau Software""}",4.7,2200.0,Advanced , 3 - 6 Months
"DevOps, Cloud, and Agile Foundations","{"" DevOps"","" Cloud Computing"","" Software Engineering"","" Agile Software Development"","" Continuous Delivery"","" Continuous Integration"","" Scrum (Software Development)"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Storage"","" IBM Cloud"","" Leadership and Management""}",4.7,7700.0,Beginner , 3 - 6 Months
Meta Front-End Developer,"{"" HTML and CSS"","" Javascript"","" Front-End Web Development"","" React (web framework)"","" Web Development"","" User Experience"","" Algorithms"","" Computer Science"","" Web Design"","" Application Development"","" Computer Programming"","" Software Engineering"","" Web Development Tools"","" Collaboration"","" Communication"","" Data Structures"","" Human Computer Interaction"","" Interactive Design"","" Linux"","" Problem Solving"","" Product Design"","" Software Engineering Tools"","" Software Testing""}",4.7,14700.0,Beginner , 3 - 6 Months
Cloud Application Development Foundations,"{"" Cloud Computing"","" Cloud Applications"","" IBM Cloud"","" Javascript"","" Cloud Infrastructure"","" Cloud Platforms"","" DevOps"","" Cloud Management"","" Computer Programming"","" Web Development"","" Cloud API"","" Continuous Integration"","" Cloud Storage"","" Software As A Service"","" Continuous Delivery"","" Web Development Tools"","" NoSQL"","" Computer Science"","" React (web framework)""}",4.6,6100.0,Beginner , 3 - 6 Months
Foundations of Project Management,"{"" Project Management"","" Strategy and Operations"","" Business Communication"","" Change Management"","" Organizational Development"","" Communication"","" Culture"","" Emotional Intelligence"","" Influencing"","" Leadership and Management"","" People Management"","" Planning""}",4.9,73700.0,Beginner , 1 - 4 Weeks
Foundations of Cybersecurity,"{"" Linux"","" Computer Programming"","" Leadership and Management"","" SQL""}",4.9,11800.0,Beginner , 1 - 4 Weeks
IBM IT Support,"{"" Customer Success"","" Cloud Computing"","" Computer Networking"","" Strategy and Operations"","" Operating Systems"","" Cloud Storage"","" Cloud Applications"","" Leadership and Management"","" System Security"","" Customer Support"","" Communication"","" Computer Programming"","" Cyberattacks"","" Cloud Infrastructure"","" Cloud Platforms"","" Databases"","" DevOps"","" Networking Hardware"","" Cryptography"","" IBM Cloud"","" Information Technology"","" Network Architecture"","" Network Security"","" Security Engineering"","" Software Engineering""}",4.7,6600.0,Beginner , 3 - 6 Months
"Foundations: Data, Data, Everywhere","{"" Data Analysis"","" SQL"","" Data Visualization"","" Business Analysis"","" Spreadsheet Software"","" Data Science"","" Databases"","" Microsoft Excel""}",4.8,93900.0,Beginner , 1 - 3 Months
IBM IT Project Manager,"{"" Software Engineering"","" Agile Software Development"","" Computer Programming"","" Software Engineering Tools"","" Application Development"","" Programming Principles"","" Software Architecture"","" Communication"","" Cloud Applications"","" Product Management"","" Scrum (Software Development)"","" Software-Defined Networking"","" Leadership and Management"","" Project Management"","" Cloud Computing"","" IBM Cloud"","" Information Technology"","" Operating Systems"","" Python Programming"","" Risk Management""}",4.8,2400.0,Beginner , 3 - 6 Months
Google IT Automation with Python,"{"" Cloud Computing"","" Cloud Platforms"","" Collaboration"","" Computer Programming"","" Data Structures"","" Google Cloud Platform"","" Leadership and Management"","" Problem Solving"","" Python Programming""}",4.7,42000.0,Beginner , 3 - 6 Months
Information Technology (IT) and Cloud Fundamentals,"{"" Cloud Computing"","" Computer Networking"","" Operating Systems"","" Cloud Storage"","" System Security"","" Cloud Applications"","" Cyberattacks"","" Cloud Infrastructure"","" Cloud Platforms"","" Databases"","" DevOps"","" Networking Hardware"","" Computer Programming"","" Cryptography"","" IBM Cloud"","" Network Architecture"","" Network Security"","" Security Engineering"","" Software Engineering""}",4.7,6100.0,Beginner , 3 - 6 Months
Prompt Engineering,"{"" Creativity"","" Data Analysis"","" Problem Solving"","" Writing""}",4.8,1800.0,Beginner , 1 - 3 Months
Microsoft Power BI Data Analyst,"{"" Data Analysis"","" Data Management"","" Data Mining"","" Data Model"","" Extract"","" Transform"","" Load"","" Microsoft Excel"","" Power BI"","" SQL""}",4.6,907.0,Beginner , 3 - 6 Months
IBM Data Warehouse Engineer,"{"" Data Management"","" Databases"","" Database Administration"","" SQL"","" Database Application"","" Extract"","" Transform"","" Load"","" Data Warehousing"","" Database Design"","" Data Structures"","" Data Engineering"","" Computer Programming"","" Data Analysis"","" Data Architecture"","" Database Theory"","" Apache"","" Python Programming"","" Leadership and Management"","" Professional Development"","" Big Data"","" Data Model"","" Distributed Computing Architecture"","" Computational Thinking"","" PostgreSQL"","" Software Architecture"","" Cloud Computing"","" Linux"","" IBM Cloud"","" Network Security"","" NoSQL"","" Business Intelligence"","" Data Science""}",4.7,3600.0,Beginner , 3 - 6 Months
IBM Cybersecurity Analyst,"{"" Cryptography"","" Python Programming"","" Linux"","" Network Security"","" Security Strategy"","" Software Security"","" System Software"","" Computer Security Incident Management"","" Networking Hardware"","" Security Software"","" Cloud Computing"","" Cyberattacks"","" DevOps"","" Mobile Security"","" Computer Programming"","" Databases"","" Leadership and Management"","" Operating Systems"","" SQL"","" System Security""}",4.6,21700.0,Beginner , 3 - 6 Months
AI For Everyone,"{"" Data Science"","" Deep Learning"","" Machine Learning"","" Artificial Neural Networks"","" Business Transformation"","" Human Learning"","" Planning"","" Project Management""}",4.8,39400.0,Beginner , 1 - 4 Weeks
Supervised Machine Learning: Regression and Classification,"{"" Machine Learning"","" Machine Learning Algorithms"","" Regression"","" Applied Machine Learning"","" Algorithms"","" Statistical Machine Learning"","" Mathematics"","" Critical Thinking"","" Machine Learning Software"","" Python Programming""}",4.9,15000.0,Beginner , 1 - 4 Weeks
IBM Front-End Developer,"{"" Software Engineering"","" Cloud Applications"","" Application Development"","" Computer Programming"","" Software Engineering Tools"","" Cloud Computing"","" IBM Cloud"","" Programming Principles"","" Web Development"","" Agile Software Development"","" Cloud API"","" Cloud Infrastructure"","" Cloud Management"","" Cloud Platforms"","" Communication"","" DevOps"","" Software Architecture"","" Continuous Integration"","" Software As A Service"","" Web Development Tools"","" Continuous Delivery"","" Front-End Web Development"","" Leadership and Management"","" Product Management"","" Software-Defined Networking"","" Collaboration"","" Javascript"","" NoSQL"","" Mergers & Acquisitions"","" Python Programming"","" React (web framework)"","" Strategy""}",4.6,1600.0,Beginner , 3 - 6 Months
Technical Support Fundamentals,"{"" Communication"","" Computer Architecture"","" Computer Networking"","" Customer Support"","" Networking Hardware""}",4.8,145600.0,Beginner , 1 - 3 Months
Business Foundations,"{"" Accounting"","" Finance"","" General Accounting"","" Decision Making"","" Financial Accounting"","" Strategy and Operations"","" Account Management"","" Accounts Payable and Receivable"","" Cost Accounting"","" Leadership and Management"","" Strategy"","" Cash Management"","" Communication"","" Financial Analysis"","" Generally Accepted Accounting Principles (GAAP)"","" Marketing"","" Brand Management"","" Budget Management"","" Customer Analysis"","" Market Analysis"","" Marketing Design"","" Product Marketing"","" Product Strategy"","" Entrepreneurship"","" Human Resources"","" People Analysis"","" Performance Management"","" Business Analysis"","" Customer Relationship Management"","" Data Analysis"","" Digital Marketing"","" Mathematical Theory & Analysis"","" Change Management"","" Human Resources Operations"","" Talent Management"","" Operations Management""}",4.7,24100.0,Beginner , 3 - 6 Months
"BI Foundations with SQL, ETL and Data Warehousing","{"" Data Management"","" Extract"","" Transform"","" Load"","" Data Warehousing"","" Database Administration"","" Apache"","" Computer Programming"","" Python Programming"","" Data Analysis"","" Databases"","" Big Data"","" Database Application"","" Distributed Computing Architecture"","" Cloud Computing"","" Computational Thinking"","" Database Design"","" Database Theory"","" Leadership and Management"","" Linux"","" SQL"","" Software Architecture"","" Business Intelligence"","" IBM Cloud""}",4.6,19600.0,Beginner , 3 - 6 Months
AI Foundations for Everyone,"{"" Human Learning"","" Machine Learning"","" Artificial Neural Networks"","" Deep Learning"","" Machine Learning Algorithms"","" Human Computer Interaction"","" Natural Language Processing"","" Algorithms"","" Applied Machine Learning"","" Cloud Computing"","" Computer Vision"","" IBM Cloud"","" Machine Learning Software"","" Data Analysis"","" Cloud API"","" Computer Programming"","" Data Science""}",4.7,13100.0,Beginner , 3 - 6 Months
IBM IT Scrum Master,"{"" DevOps"","" Software Engineering"","" Computer Programming"","" Agile Software Development"","" Programming Principles"","" Software Engineering Tools"","" Application Development"","" Software Architecture"","" Communication"","" Continuous Delivery"","" Cloud Applications"","" Continuous Integration"","" Product Management"","" Scrum (Software Development)"","" Software-Defined Networking"","" Leadership and Management"","" Project Management"","" Cloud Computing"","" IBM Cloud"","" Information Technology"","" Operating Systems"","" Python Programming""}",4.8,3800.0,Beginner , 3 - 6 Months
IBM Project Manager,"{"" Software Engineering"","" Agile Software Development"","" Scrum (Software Development)"","" Business Analysis"","" Communication"","" Leadership and Management"","" Project Management"","" Risk Management""}",4.8,1800.0,Beginner , 3 - 6 Months
IBM Applied DevOps Engineering,"{"" DevOps"","" Software Engineering"","" Cloud Computing"","" Continuous Delivery"","" Continuous Integration"","" Application Development"","" Cloud Applications"","" Software Architecture"","" Security Engineering"","" Computer Programming"","" Kubernetes"","" Cloud Infrastructure"","" Cloud-Based Integration"","" Microarchitecture"","" Software Testing"","" Agile Software Development"","" IBM Cloud"","" Docker (Software)"","" Scrum (Software Development)"","" Software Security"","" Leadership and Management""}",4.7,4100.0,Intermediate , 3 - 6 Months
IBM AI Engineering,"{"" Machine Learning"","" Deep Learning"","" Human Learning"","" Artificial Neural Networks"","" Python Programming"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Algorithms"","" Machine Learning Software"","" Regression"","" Statistical Machine Learning"","" Network Model"","" Computer Vision"","" Apache"","" Big Data"","" Data Analysis"","" Mathematical Theory & Analysis"","" Computer Programming"","" Network Architecture"","" Data Visualization"","" Extract"","" Transform"","" Load"","" Plot (Graphics)"","" Tensorflow"","" Visualization (Computer Graphics)"","" Customer Analysis"","" Decision Making"","" Dimensionality Reduction"","" Data Science""}",4.6,17300.0,Intermediate , 3 - 6 Months
IT Fundamentals for Cybersecurity,"{"" Cryptography"","" Network Security"","" Linux"","" Networking Hardware"","" Security Software"","" System Software"","" Cloud Computing"","" Cyberattacks"","" Databases"","" Leadership and Management"","" Operating Systems"","" SQL"","" System Security""}",4.6,19600.0,Beginner , 3 - 6 Months
Mathematics for Machine Learning and Data Science,"{"" Mathematics"","" Algebra"","" Linear Algebra"","" Machine Learning"","" Machine Learning Algorithms"","" Calculus"","" Differential Equations"","" Regression"","" Artificial Neural Networks"","" Mathematical Theory & Analysis"","" Python Programming"","" Algorithms"","" Critical Thinking"","" Dimensionality Reduction"","" General Statistics"","" Probability & Statistics"","" Statistical Analysis""}",4.6,1300.0,Beginner , 1 - 3 Months
Python for Everybody,"{"" Computer Programming"","" Python Programming"","" Computer Programming Tools"","" Programming Principles"","" Data Structures"","" Computational Thinking"","" Computational Logic"","" Software Engineering"","" Algorithms"","" Critical Thinking"","" Problem Solving"","" Data Management"","" Database Application"","" Databases"","" Theoretical Computer Science"","" Database Administration"","" Data Model"","" Data Visualization"","" Database Design"","" Database Theory"","" Web Development"","" Web Development Tools"","" Computer Networking"","" Extract"","" Transform"","" Load"","" SQL"","" HTML and CSS""}",4.8,268600.0,Beginner , 3 - 6 Months
Meta React Native,"{"" React (web framework)"","" Javascript"","" Mobile Development"","" Mobile Development Tools"","" Web Development"","" HTML and CSS"","" Front-End Web Development"","" Web Development Tools"","" Application Development"","" Computer Programming"","" Programming Principles"","" User Experience"","" Web Design"","" Software Engineering Tools"","" SQL"","" Software Engineering"","" Agile Software Development"","" Collaboration"","" Data Management"","" Human Computer Interaction"","" Interactive Design"","" Linux"","" Product Design"","" Product Lifecycle"","" Project Management""}",4.7,6700.0,Beginner , 3 - 6 Months
Project Execution: Running the Project,"{"" Leadership and Management"","" Communication"","" Project Management"","" Strategy and Operations"","" Business Communication"","" Collaboration"","" Risk Management"","" Planning""}",4.8,7100.0,Beginner , 1 - 3 Months
Meta Social Media Marketing,"{"" Marketing"","" Digital Marketing"","" Social Media"","" Advertising"","" Communication"","" Media Strategy & Planning"","" Marketing Management"","" Customer Analysis"","" Brand Management"","" Business Analysis"","" Marketing Design"","" Sales"","" Strategy and Operations"","" Data Analysis"","" General Statistics"","" Market Analysis"","" Probability & Statistics"","" Leadership and Management"","" Research and Design"","" Creativity"","" Planning"","" Entrepreneurship""}",4.8,17500.0,Beginner , 3 - 6 Months
Foundations of Digital Marketing and E-commerce,"{"" Digital Marketing"","" Marketing"","" E-Commerce"","" Strategy"","" Data Analysis"","" Social Media""}",4.8,15600.0,Beginner , 1 - 4 Weeks
Prompt Engineering for ChatGPT,"{"" Creativity"","" Problem Solving"","" Writing""}",4.8,1700.0,Beginner , 1 - 3 Months
Finance & Quantitative Modeling for Analysts,"{"" Finance"","" Business Analysis"","" Data Analysis"","" Financial Analysis"","" Accounting"","" Forecasting"","" Financial Management"","" General Accounting"","" General Statistics"","" Statistical Analysis"","" Financial Accounting"","" Mathematical Theory & Analysis"","" Accounts Payable and Receivable"","" Probability & Statistics"","" Basic Descriptive Statistics"","" Correlation And Dependence"","" Data Model"","" Decision Making"","" Regression"","" Generally Accepted Accounting Principles (GAAP)"","" Management Accounting"","" Statistical Tests"","" Strategy and Operations"","" Budget Management"","" Microsoft Excel"","" Spreadsheet Software"","" Entrepreneurship"","" Linear Algebra"","" Computer Programming""}",4.5,15700.0,Beginner , 3 - 6 Months
